Data Sekolah Kab. Malang - Dapodikdasmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Wilayah,Total,,,TK,,,KB,,,TPA,,,SPS,,,PKBM,,,SKB,,,SD,,,SMP,,,SMA,,,SMK,,,SLB,,
,,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S,Jml,N,S
1,Kec. Singosari,191,58,133,59,1,58,35,0,35,0,0,0,0,0,0,2,0,2,0,0,0,55,48,7,22,6,16,4,1,3,14,2,12,0,0,0
2,Kec. Kepanjen,181,50,131,45,1,44,43,0,43,0,0,0,0,0,0,4,0,4,1,1,0,50,41,9,17,5,12,7,1,6,13,1,12,1,0,1
3,Kec. Lawang,159,49,110,50,0,50,28,0,28,0,0,0,0,0,0,3,0,3,0,0,0,49,41,8,16,6,10,5,1,4,6,0,6,2,1,1
4,Kec. Dampit,157,51,106,49,0,49,35,0,35,0,0,0,1,0,1,1,0,1,0,0,0,50,48,2,14,2,12,2,1,1,5,0,5,0,0,0
5,Kec. Pakis,155,35,120,54,0,54,38,0,38,2,0,2,0,0,0,2,0,2,0,0,0,36,33,3,13,2,11,2,0,2,6,0,6,2,0,2
6,Kec. Turen,151,48,103,46,0,46,25,0,25,0,0,0,0,0,0,2,0,2,0,0,0,50,43,7,15,2,13,2,1,1,10,2,8,1,0,1
7,Kec. Sumber Manjing Wetan,131,55,76,44,0,44,17,0,17,0,0,0,0,0,0,2,0,2,0,0,0,51,49,2,13,5,8,2,1,1,2,0,2,0,0,0
8,Kec. Gondanglegi,126,24,102,25,0,25,28,0,28,1,0,1,0,0,0,1,0,1,0,0,0,29,21,8,23,2,21,7,1,6,12,0,12,0,0,0
9,Kec. Tirto Yudo,122,37,85,25,0,25,43,0,43,0,0,0,0,0,0,2,0,2,0,0,0,36,34,2,12,3,9,2,0,2,2,0,2,0,0,0
10,Kec. Poncokusumo,116,43,73,22,0,22,36,0,36,0,0,0,0,0,0,2,0,2,0,0,0,41,39,2,10,4,6,0,0,0,5,0,5,0,0,0
11,Kec. Donomulyo,116,46,70,27,0,27,19,0,19,0,0,0,10,0,10,1,0,1,0,0,0,45,43,2,8,3,5,1,0,1,4,0,4,1,0,1
12,Kec. Pakisaji,113,29,84,36,0,36,25,0,25,0,0,0,1,0,1,1,0,1,0,0,0,33,27,6,12,2,10,1,0,1,3,0,3,1,0,1
13,Kec. Jabung,103,36,67,32,0,32,23,0,23,0,0,0,0,0,0,1,0,1,0,0,0,34,33,1,8,3,5,1,0,1,3,0,3,1,0,1
14,Kec. Ampelgading,98,36,62,36,0,36,19,0,19,0,0,0,0,0,0,1,0,1,0,0,0,30,30,0,8,5,3,2,0,2,2,1,1,0,0,0
15,Kec. Bululawang,98,26,72,28,1,27,19,0,19,0,0,0,0,0,0,1,0,1,0,0,0,25,22,3,13,2,11,6,1,5,6,0,6,0,0,0
16,Kec. Wagir,98,35,63,30,0,30,20,0,20,0,0,0,0,0,0,3,0,3,0,0,0,34,33,1,8,2,6,1,0,1,2,0,2,0,0,0
17,Kec. Kalipare,96,43,53,32,0,32,6,0,6,0,0,0,1,0,1,1,0,1,0,0,0,42,40,2,11,3,8,1,0,1,2,0,2,0,0,0
