tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,jumlah
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-Laki,1752
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-Laki,1794
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-Laki,660
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-Laki,630
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-Laki,1487
2020,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-Laki,938
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,844
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,4987
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,5661
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,5223
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,3454
2020,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,6452
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,4171
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,8481
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,7014
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,5194
2020,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,9456
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,6823
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,9729
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,7430
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,9650
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,6282
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,10906
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,7477
2020,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,9820
