tahun,triwulan,nama_kota,nama_kecamatan,nama_kelurahan ,jenis_kelamin,jumlah
2021,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,27
2021,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,14
2021,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,8
2021,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,3
2021,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,19
2021,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,9
2021,1,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,235
2021,1,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,61
2021,1,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,49
2021,1,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,34
2021,1,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,28
2021,1,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,57
2021,1,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,22
2021,1,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,53
2021,1,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,33
2021,1,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,35
2021,1,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,104
2021,1,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,71
2021,1,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,203
2021,1,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,84
2021,1,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,90
2021,1,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,192
2021,1,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,93
2021,1,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,55
2021,1,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,88
2021,1,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,19
2021,1,JAKARTA PUSAT,SENEN,KENARI,Laki-Laki,51
2021,1,JAKARTA PUSAT,SENEN,PASEBAN,Laki-Laki,106
2021,1,JAKARTA PUSAT,SENEN,KRAMAT,Laki-Laki,71
2021,1,JAKARTA PUSAT,SENEN,KWITANG,Laki-Laki,65
2021,1,JAKARTA PUSAT,SENEN,BUNGUR,Laki-Laki,43
2021,1,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,107
2021,1,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,79
2021,1,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,106
2021,1,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,86
2021,1,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,129
2021,1,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,20
2021,1,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,164
2021,1,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,31
2021,1,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,8
2021,1,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,88
2021,1,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,79
2021,1,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,152
2021,1,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,136
2021,1,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,69
2021,1,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,42
2021,1,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,124
2021,1,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,71
2021,1,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-Laki,51
2021,1,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-Laki,155
2021,1,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-Laki,302
2021,1,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-Laki,78
2021,1,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-Laki,149
2021,1,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-Laki,361
2021,1,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-Laki,112
2021,1,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-Laki,173
2021,1,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-Laki,183
2021,1,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-Laki,143
2021,1,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-Laki,71
2021,1,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-Laki,154
2021,1,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-Laki,291
2021,1,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-Laki,155
2021,1,JAKARTA UTARA,KOJA,KOJA,Laki-Laki,87
2021,1,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-Laki,156
2021,1,JAKARTA UTARA,KOJA,LAGOA,Laki-Laki,205
2021,1,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-Laki,103
2021,1,JAKARTA UTARA,KOJA,TUGU SELATAN,Laki-Laki,182
2021,1,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Laki-Laki,120
2021,1,JAKARTA UTARA,CILINCING,CILINCING,Laki-Laki,194
2021,1,JAKARTA UTARA,CILINCING,SUKAPURA,Laki-Laki,331
2021,1,JAKARTA UTARA,CILINCING,MARUNDA,Laki-Laki,134
2021,1,JAKARTA UTARA,CILINCING,KALI BARU,Laki-Laki,307
2021,1,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Laki-Laki,145
2021,1,JAKARTA UTARA,CILINCING,ROROTAN,Laki-Laki,201
2021,1,JAKARTA UTARA,CILINCING,SEMPER BARAT,Laki-Laki,233
2021,1,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Laki-Laki,62
2021,1,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Laki-Laki,163
2021,1,JAKARTA UTARA,PADEMANGAN,ANCOL,Laki-Laki,71
2021,1,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Laki-Laki,55
2021,1,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Laki-Laki,105
2021,1,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Laki-Laki,95
2021,1,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Laki-Laki,977
2021,1,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Laki-Laki,356
2021,1,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Laki-Laki,896
2021,1,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Laki-Laki,93
2021,1,JAKARTA BARAT,CENGKARENG,KAPUK,Laki-Laki,874
2021,1,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,Laki-Laki,452
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,Laki-Laki,48
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,Laki-Laki,24
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,Laki-Laki,83
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,Laki-Laki,60
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,Laki-Laki,50
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,Laki-Laki,84
2021,1,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,Laki-Laki,97
2021,1,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,Laki-Laki,20
2021,1,JAKARTA BARAT,TAMAN SARI,KRUKUT,Laki-Laki,40
2021,1,JAKARTA BARAT,TAMAN SARI,MAPHAR,Laki-Laki,40
2021,1,JAKARTA BARAT,TAMAN SARI,TANGKI,Laki-Laki,30
2021,1,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,Laki-Laki,32
2021,1,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,Laki-Laki,46
