tahun,triwulan,nama_kota,nama_kecamatan,nama_kelurahan ,jenis_kelamin,jumlah
2021,2,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-Laki,21
2021,2,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-Laki,17
2021,2,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-Laki,14
2021,2,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,Laki-Laki,11
2021,2,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-Laki,16
2021,2,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,Laki-Laki,12
2021,2,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,291
2021,2,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,79
2021,2,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,33
2021,2,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,27
2021,2,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,20
2021,2,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,49
2021,2,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,14
2021,2,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,48
2021,2,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,34
2021,2,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,27
2021,2,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,107
2021,2,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,57
2021,2,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,124
2021,2,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,62
2021,2,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,65
2021,2,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,168
2021,2,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,80
2021,2,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,54
2021,2,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,79
2021,2,JAKARTA PUSAT,SENEN,SENEN,Laki-Laki,21
