id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUNJUNGAN RAWAT JALAN,4569769,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUNJUNGAN RAWAT INAP,13411,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUNJUNGAN GANGGUAN JIWA,6687,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUNJUNGAN RAWAT INAP,0,ORANG,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUNJUNGAN RAWAT INAP,0,ORANG,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUNJUNGAN RAWAT JALAN,2396277,ORANG,2019
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUNJUNGAN RAWAT INAP,2900,ORANG,2019
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
13,32,JAWA BARAT,3205,KABUPATEN GARUT,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
14,32,JAWA BARAT,3205,KABUPATEN GARUT,KUNJUNGAN RAWAT INAP,0,ORANG,2019
15,32,JAWA BARAT,3205,KABUPATEN GARUT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUNJUNGAN RAWAT JALAN,327077,ORANG,2019
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUNJUNGAN RAWAT INAP,16899,ORANG,2019
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KUNJUNGAN GANGGUAN JIWA,4384,ORANG,2019
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUNJUNGAN RAWAT INAP,0,ORANG,2019
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUNJUNGAN RAWAT JALAN,837036,ORANG,2019
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUNJUNGAN RAWAT INAP,7314,ORANG,2019
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUNJUNGAN GANGGUAN JIWA,7371,ORANG,2019
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUNJUNGAN RAWAT JALAN,2516217,ORANG,2019
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUNJUNGAN RAWAT INAP,11984,ORANG,2019
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KUNJUNGAN RAWAT JALAN,946928,ORANG,2019
